
1,310,000 hands checked | 107,542 dead | 322.9s taken
1,320,000 hands checked | 107,542 dead | 324.3s taken
1,330,000 hands checked | 107,542 dead | 325.9s taken
1,340,000 hands checked | 107,542 dead | 327.4s taken
1,350,000 hands checked | 107,542 dead | 328.9s taken
1,360,000 hands checked | 108,227 dead | 330.7s taken
1,370,000 hands checked | 110,485 dead | 333.4s taken
1,380,000 hands checked | 112,351 dead | 335.8s taken
1,390,000 hands checked | 113,618 dead | 338.0s taken
1,400,000 hands checked | 116,428 dead | 340.9s taken
1,410,000 hands checked | 119,391 dead | 343.8s taken
1,420,000 hands checked | 119,391 dead | 345.3s taken
1,430,000 hands checked | 121,277 dead | 347.7s taken
1,440,000 hands checked | 124,032 dead | 350.6s taken
1,450,000 hands checked | 124,936 dead | 353.3s taken
1,460,000 hands checked | 126,100 dead | 356.1s taken
1,470,000 hands checked | 127,105 dead | 358.7s taken
1,480,000 hands checked | 129,028 dead | 361.4s taken
1,490,000 hands checked | 130,743 dead | 364.3s taken
1,500,000 hands checked | 132,394 dead | 367.3s taken
1,510,000 hands checked | 133,807 dead | 369.9s taken
1,520,000 hands checked | 133,807 dead | 372.1s taken
1,530,000 hands checked | 133,832 dead | 374.5s taken
1,540,000 hands checked | 133,851 dead | 375.8s taken
1,550,000 hands checked | 133,851 dead | 377.0s taken
1,560,000 hands checked | 133,851 dead | 378.1s taken
1,570,000 hands checked | 134,692 dead | 380.2s taken
1,580,000 hands checked | 136,745 dead | 382.9s taken
1,590,000 hands checked | 137,663 dead | 385.3s taken
1,600,000 hands checked | 138,346 dead | 387.0s taken
1,610,000 hands checked | 140,146 dead | 389.6s taken
1,620,000 hands checked | 142,034 dead | 392.2s taken
1,630,000 hands checked | 143,772 dead | 394.7s taken
1,640,000 hands checked | 143,813 dead | 396.2s taken
1,650,000 hands checked | 145,933 dead | 398.8s taken
1,660,000 hands checked | 147,689 dead | 401.1s taken
1,670,000 hands checked | 147,689 dead | 402.6s taken
1,680,000 hands checked | 147,690 dead | 404.2s taken
1,690,000 hands checked | 147,690 dead | 405.4s taken
1,700,000 hands checked | 147,690 dead | 406.8s taken
1,710,000 hands checked | 147,690 dead | 408.3s taken
1,720,000 hands checked | 147,690 dead | 409.7s taken
1,730,000 hands checked | 148,375 dead | 411.5s taken
1,740,000 hands checked | 150,423 dead | 413.9s taken
1,750,000 hands checked | 152,083 dead | 416.0s taken
1,760,000 hands checked | 152,277 dead | 417.3s taken
1,770,000 hands checked | 154,422 dead | 419.7s taken
1,780,000 hands checked | 156,734 dead | 422.1s taken
1,790,000 hands checked | 156,734 dead | 423.5s taken
1,800,000 hands checked | 158,379 dead | 425.7s taken
1,810,000 hands checked | 160,712 dead | 428.2s taken
1,820,000 hands checked | 162,454 dead | 431.3s taken
1,830,000 hands checked | 164,928 dead | 434.4s taken
1,840,000 hands checked | 164,951 dead | 436.2s taken
1,850,000 hands checked | 166,441 dead | 438.6s taken
1,860,000 hands checked | 168,774 dead | 441.4s taken
1,870,000 hands checked | 169,624 dead | 443.4s taken
1,880,000 hands checked | 170,793 dead | 445.4s taken
1,890,000 hands checked | 172,755 dead | 447.7s taken
1,900,000 hands checked | 173,948 dead | 449.7s taken
1,910,000 hands checked | 174,680 dead | 451.2s taken
1,920,000 hands checked | 175,640 dead | 453.2s taken
1,930,000 hands checked | 177,301 dead | 455.3s taken
1,940,000 hands checked | 178,770 dead | 457.4s taken
1,950,000 hands checked | 180,467 dead | 459.5s taken
1,960,000 hands checked | 182,381 dead | 461.7s taken
1,970,000 hands checked | 182,381 dead | 462.5s taken
1,980,000 hands checked | 182,381 dead | 463.3s taken
1,990,000 hands checked | 182,628 dead | 464.6s taken
2,000,000 hands checked | 183,436 dead | 466.5s taken
2,010,000 hands checked | 183,974 dead | 467.9s taken
2,020,000 hands checked | 185,109 dead | 469.8s taken
2,030,000 hands checked | 186,951 dead | 471.9s taken
2,040,000 hands checked | 188,731 dead | 473.9s taken
2,050,000 hands checked | 189,702 dead | 475.6s taken
2,060,000 hands checked | 192,133 dead | 478.0s taken
2,070,000 hands checked | 193,577 dead | 479.7s taken
2,080,000 hands checked | 196,113 dead | 481.9s taken
2,090,000 hands checked | 196,726 dead | 483.3s taken
2,100,000 hands checked | 198,788 dead | 485.3s taken
2,110,000 hands checked | 201,365 dead | 487.6s taken
2,120,000 hands checked | 201,984 dead | 488.6s taken
2,130,000 hands checked | 201,984 dead | 489.4s taken
2,140,000 hands checked | 201,984 dead | 490.2s taken
2,150,000 hands checked | 201,984 dead | 491.0s taken
2,160,000 hands checked | 201,984 dead | 491.8s taken
2,170,000 hands checked | 201,984 dead | 492.7s taken
2,180,000 hands checked | 202,103 dead | 493.6s taken
